编号,组织名称,中促会,民促会,联合国,成立时间,出海时间,领导人,重要员工,资本类型,注册地,注册形式,捐赠金额（出海前）标注年份,,捐赠金额（出海后）,,官网的组织理念,组织结构（参考年报）,是否有独立的海外办公室——组织结构,官网关于海外项目的组织理念——目标,海外项目的名称,海外涉及的地区,海外服务内容,服务形式,主要成员是否有官方背景,主要信息来源,是否有网上披露,是否持续性披露,走出去程度
1,爱德基金会,1,0,0,1985——4——1,2009年,丘仲辉,顾传勇、张克运、方未艾、余瑞玉等,腾讯公益慈善基金会,江苏省南京市,公募基金,"￥87,646,513.86 ",2008年,"￥96,205,881.78 ",2009年,"爱以助人，德以树仁；寓信于行，以爱证德；
以人为本，平等尊重；助人自助，助人发展；
公开透明，诚信高效；参与发展，持续发展。",理事会、监事会、秘书长办公会议；爱德印刷等社会企业、上海仁德基金会、上海爱德研究中心、广州市爱德公益发展中心、爱德基金会香港办公室、爱德非洲办公室、爱德日内瓦国际办公室、爱德肯尼亚办公室,是,在信仰互相尊重原则下共同献策出力，开展海内外友好交往，发展我国的社会公益事业，促进社会发展，服务社会、造福人群，维护世界和平。,活水行动、柬埔寨教育发展项目、薪火同行国际助学计划、非洲爱梦助学金、爱的小课桌、爱梦粮援、埃塞俄比亚爱的小书包,日内瓦、巴基斯坦、土耳其、叙利亚、缅甸、菲律宾、尼泊尔等国家地区,教育、扶贫援助,直接服务,是,官网,是,是,海外注册
2,招商局慈善基金会,0,0,0,2009年,2017年,张军立,李亚东、王志贤、蒋铁峰、霍达、白景涛、刘昌松、宋嵘、张翼、黄奕等,招商局集团,广东省深圳市,非公募基金会,"￥55,150,000.00 ",2016年,"￥121,872,300.00 ",2017年,关注民生，扶贫济困，热心公益，和谐发展,理事会、监事会、项目资助评审委员会、秘书处、综合事务部、项目规划管理部、法务部,是,推动平等合作，建设更加富强、公正和美好的社会,推动国际合作：关注“全球减贫”“公共卫生安全”议题、招商局•仁爱堂YES青年快乐人生资助计划、支持受疫情影响之儿童及青少年计划、招商局志愿者支持计划,斯里兰卡、吉布提、白俄罗斯、法国等国家地区,扶贫、教育、卫生援助,直接和间接服务,是,官网,是,是,海外项目
3,Inno 映诺社区发展机构,0,1,0,2007年,——,——,——,——,广东省广州市,商业公司,——,——,——,——,——,——,是,旨在为工作场所及其延展社区带来可持续影响力的非营利机构，着重关注新型社区问题和公共健康。,关注劳工就业问题,柬埔寨、印度、越南、马来西、印度尼西亚等,劳工、家庭援助,直接和间接服务,否,微信公众号,是,否,海外注册
4,造梦空间Dream Building Service Association,0,0,0,2014年,2014年,阴斌斌,——,——,肯尼亚,国际非盈利组织,——,——,——,——,共创、共建、共享,——,是,造梦空间成为一个连接世界与非洲的桥梁，成为中非以及世界青年交流的平台。,学校援建、职业培训、贫民窟达人秀、足球俱乐部、贫民窟捐助计划、DBSA大讲堂、贫民窟艺术项目,肯尼亚,教育、职业援助,直接服务,否,官网,是,否,海外注册
5,四川海惠助贫服务中心,0,1,0,2008年,7/10/1905,但斌,陈太勇、李小云、吕朝、冯超、黄浩明、胡广华、吴波、曾途,——,四川省成都市,非营利社会组织,"￥24,493,386.72 ",2017年,"￥9,468,674.18 ",2018年,扶弱助困、振兴乡村,理事会、监事会、秘书处、四川海惠、上海海惠,是,围绕联合国可持续发展目标，以海惠国际公益园（泰国）为起点，推动中国公益项目在海外的落地实施，积极链接和打造国际合作网络，搭建国际公益平台，讲好中国故事，促进海内外民心相通,海惠国际公益园、泰北山区少数民族部落青少年教育支持项目、泰北山区少数民族部落新建卫生间/浴室项目、泰北山区教师及青少年华文教育支持项目,泰国,教育、就业援助,直接和间接服务,否,官网,是,是,海外项目
6,中国乡村发展基金会,1,1,1,1989年,2009年,郑文凯,陈志刚、刘文奎、金锦萍、陈红涛等,——,北京市海淀区,公募基金,——,——,"￥273,053,273.14 ",2012年, 助力乡村发展，促进共同富裕 ,理事会、监事会、秘书处、综合事务部、人力资源部、计划财务部、监测合规部、品牌传播部、信息技术部、资源发展部、乡村振兴协作部、移动互联网部、月捐发展部、国际发展部,是,构建更值得信任、更值得期待、更值得尊敬的国际公益平台,国际综合项目、国际爱心包裹项目、国际微笑儿童项目,缅甸、尼泊尔、埃塞俄比亚、柬埔寨、乌干达、苏丹、巴基斯坦、阿富汗等国家地区,教育、救灾援助,直接和间接服务,是,官网,是,否,海外注册
7,无锡灵山慈善基金会,1,1,1,2004——12——1,2014年,王文,王君毅、李秋瑾、凡东伟、杨团、金锦萍、吴国平、普俊法师等,无锡灵山文化旅游集团有限公司,江苏省无锡市,公募基金,——,——,"￥56,232,400.00 ",2014年,弘扬慈善文化，净化世道人心,理事会、监事会、秘书处,否,让世界看到中国青年的姿态，推动华人青年服务世界,埃塞俄比亚“微笑儿童”项目、尼泊尔国际赈灾、泰北华文教育示范项目、国际志愿者项目、国际交流项目,泰国、法国、尼泊尔、埃塞俄比亚等国家地区,救灾、教育援助,直接和间接服务,否,爱企查、官网、中国发展简报、百度、新闻,是,是,海外项目
8,中南屋China House,0,0,0,2014年,2014年,"
Hongxiang Huang","Dr. Jane Goodall,Zhang Xiao’an,Gou Haodong,Prof. Jenik Radon",上海垂星教育科技有限公司,创立地：肯尼亚；总部：上海市 黄浦区,商业公司,——,——,——,——,To further integrate China into global sustainable development ,Board of Advisors,是,关注野生动物与环境保护、弱势群体赋能、一带一路可持续发展，并为中国青年提供相应的社会实践活动,非洲职业技能挑战赛、向世界传播海外华人的声音、肯尼亚反盗猎、剪除铁丝网项目,肯尼亚、坦桑尼亚、美国、厄瓜多尔、瑞士、巴西、秘鲁、泰国、越南等国家地区,动保、移民援助,直接和间接服务,否,中国发展简报、百度百科、新闻,是,否,海外注册
9,永续全球环境研究所GEI,0,0,1,2004——3——1,2004年,张冀强 ,金嘉满、王诺、崔南瑛、李沛聪、林靖岚、陈韵竹、任鹏、张经纬、赵文娟,——,北京市朝阳区,非营利社会组织,——,——,"￥19,132,491.84 ",2023年,利用市场机制和政策建议解决环境问题，力求社会、环境和经济效益的多赢，实现全方位的可持续发展。,设立行政团队、能源与气候变化团队、生态保护与社区发展团队、海外投资贸易与环境团队、全球环境创意基金团队、专家指导委员会,是,"推动中国在对外投资贸易活动中将环境和社会原则纳入决策过程；
促进关于绿色金融与可持续投资等领域的双边和多边交流对话",China-Africa Timber Governance、中非森林资源管理合作项目 （IIED支持）、南南合作推动发展中国家的低碳与可再生能源发展、发改委对缅甸气候变化物资援助、打击野生动物国际贸易、沼气与乳品业可再生能源、老挝南俄5号水电站社区发展(沼气)项目、社区参与生态保护、改善生计发展--协议保护模式的缅甸示范,喀麦隆、加纳、刚果共和国、利比里亚、乌干达、莫桑比克、缅甸、柬埔寨、老挝、斯里兰卡,交流合作，环境保护、可再生资源研究,直接和间接服务,是,中国发展简报、官网,是,否,海外注册
10,中国红十字基金会,1,0,0,1994年,2017年,贝晓超,王海京、金锦萍、王轶凡等,——,北京市东城区,公募基金,"￥261,664,675.00 ",2017年,"￥335,245,802.22 ",2018年,守护生命与健康，红十字救在身边,理事会、秘书处、海外项目部等,否,弘扬人道、博爱、奉献的红十字精神，致力于改善人的生存与发展境况，保护人的生命与健康，促进世界和平与社会进步。,丝路博爱基金、红十字与“一带一路”同行、阿富汗危机响应行动、国际免费午餐项目,肯尼亚、乌干达、马拉维、尼日利亚、埃塞俄比亚、坦桑尼亚、阿富汗等国家地区,扶贫、救灾援助,间接服务,是,官网,是,否,海外项目
11,阿里巴巴公益基金会,0,0,0,2011年,2018年,孙利军,胡晓明、王帅、姚瑶、邵晓锋、刘振飞、张爽、于秀红、刘文奎、宋迎春、欧阳晨曦、徐晓、韩敏,阿里巴巴集团,"
浙江省杭州市",非公募基金会,"￥71,900,000.00 ",2018年,"￥91,138,405.39 ",2019年,营造公益氛围，发展公益事业，促进人与社会、人与自然的可持续发展,理事会、秘书处,否,响应国家“一带一路”倡议和助力构建人类命运共同体的一项具体行动，旨在提高“一带一路”沿线发展中国家有需求的小学生的基本学习条件，促进学生的全面发展，搭建友谊之桥。,世界饥饿、国际爱心包裹、非洲创业者大赛,缅甸、尼泊尔、埃塞诶比亚、柬埔寨、老挝、巴基斯坦、纳米比亚、蒙古国、乌干达、津巴布韦、南苏丹、菲律宾、布隆迪、乍得等国家地区,经济援助、创业支持,直接和间接服务,否,中国发展简报、官网、百度、新闻、财经网,是,否,海外项目
12,浙江省公羊会公益救援促进会,0,1,0,2008年,2015年,何军,——,——,浙江省杭州市,志愿服务组织,——,——,——,——,救危助难，为社会出力；扶弱帮困，为政府分忧。,会员制,否,“灾讯为号，专业立队；报效国家，服务社会”,人道主义救援（地震、台风）,尼泊尔、巴基斯坦、厄瓜多尔、意大利、印度尼西亚、土耳其等国家地区,救灾援助,直接服务,否,官网,是,否,海外项目 注册
13,三一基金会,0,0,0,2013年,2022年,梁在中,周一为、李赛嘉、唐立桦、向思龙、周翔宇、易通、沈丹玺,三一集团,北京市,非公募基金会,"￥26,866,314.34 ",2021年,"￥47,334,446.22 ",2022年,推动科学公益，助力公益实现价值，创造世界真实改变,理事会、秘书处、监事处、项目部,否,以科学公益理念引领重要社会议题的公益创新和实践，成为支持中国公益发展的独特力量；比肩世界一流基金会，助力中国公益发挥国际影响力。,人道主义救援（地震）,土耳其、摩洛哥,救灾援助,直接服务,否,官网,是,是,海外项目
14,云南思力生态替代技术中心（思力中心、思力科普）,0,1,0,2002年,——,左智和,——,洛克菲勒兄弟基金会,云南省昆明市,非盈利社会组织--商业公司,——,——,——,——,传播和发展化学农药的生态替代技术，消除化学农药污染，推动生态农业与有机农业的发展,理事会,——,保护人类健康和生态环境，实现社会与经济的可持续发展。,——,东南亚,环保援助,间接服务,否,新闻、抖音,是,是,海外交流访问
15,中关村绿色矿山联盟,0,0,0,2015年,——,苏义脑,彭苏萍,中国恩菲工程技术有限公司(中央企业),北京市,非营利性质社团,——,——,——,——,——,理事会、秘书处、监事处、技术委员会,否,中绿盟致力于以技术创新为指导，以资源利用集约化、开采方式科学化、企业管理规范化、安全生产标准化、生产工艺现代化、矿山环境生态化为重点，系统性研究绿色矿山体系发展和基础支撑手段。,各类研讨会,吉尔吉斯斯坦、乌兹别克斯坦、纳米比亚、俄罗斯、津巴布韦、安哥拉等国家地区,环保、矿业,间接服务,是,官网,是,是,海外交流访问
16,CNIE 中国民间组织国际交流促进会,0,0,1,2005 年,2008 年,——,——,——,北京市,非营利社会团体,——,——,——,——,发挥社会组织等民间力量的作用，创建国际交流平台，开拓国际交流渠道，促进中外民心相通，推动建立更加公正合理的国际秩序，实现构建人类命运共同体的美好愿景,理事会、会员代表大会的执行机构、秘书处、监事处,否,组织会员赴海外开展民生合作、文化交流、人道救助等项目，促进中外民心相通，推动建立更加公正合理的国际秩序，实现构建人类命运共同体的美好愿景,中非民间论坛、中国东南亚民间高端对话、“跨喜马拉雅” 中国尼泊尔印度民间对话会、中缅民间交流圆桌会、中蒙民间对话会、“丝路一家亲” 行动等,非洲、东南亚、尼泊尔、印度、缅甸、蒙古、“一带一路” 沿线等,经济援助、文化交流,直接和间接服务,否,官网、新闻,是,是,海外交流访问
17,CYDF中国青年发展基金会,0,0,0,1989年,——,郭美荐,"万学军 团十八届中央委员，中国青基会党委常委、副书记、副理事长兼秘书长。

杨小禹、 王登发( 茅台集团办公室主任 )、 刘 磊( TCL公益基金会秘书长 )、 苏明娟( 中国工商银行安徽省分行系统团委副书记，团中央常委、团安徽省委副书记（兼职）)、 李 辉( 共青团中央基层建设部副部长 )、 张 剑( 三星（中国）投资有限公司 副总裁 )、 张 焱( 北京梅赛德斯-奔驰销售服务有限公司高级执行副总裁 )、 陈 遥( 中国平安保险（集团）有限公司品牌宣传部总经理 )、 赵文欣( 百胜中国控股有限公司肯德基大区营运副总裁 )、 侯慧姝( 完美（中国）有限公司公共事务副总经理 )、 黄大伟( 共青团中央青年发展部部长 )、 梁 云( 宝洁中国公关与传播部总监 )、 敬 刚( 河北省平山县西柏坡希望小学校长 )",——,北京市,公募基金会,——,——,——,——,——,理事会、监事会、秘书处、省青基,否,帮助“一带一路”沿线国家地区青少年成长发展，为困境学生提供学业资助，改善他们的成长环境，促进青少年国际交流。,丝路·希望、中老铁路青年友谊工程,一带一路国家,教育、基建,间接服务,是,官网,是,是,海外交流访问
18,深圳国际交流合作基金会,0,0,0,2014年,2017年,万科集团创始人、董事会名誉主席王石先生,中国企业家俱乐部理事长、原招商银行行长马蔚华先生，联合国和平大使、深圳国际形象大使、国际钢琴家郎朗先生，南方科技大学校长陈十一先生和前深圳市外事办公室主任汤丽霞女士共同担任荣誉会长,——,广东省深圳市,非公募公益基金会,——,——,——,——,——,理事会、监事会、秘书处、综合部、项目部、荣誉机构,否,搭建国际交流合作平台，助力深圳国际化创新型城市建设，支持社会各界参与全球治理,深系澜湄” 行动计划、“CityPlus 城市 +” 平台项目、Value Plus 中国（深圳）社会组织 “走出去” 能力建设与交流合作平台等,亚洲（澜湄地区）、6 大洲 35 个国家 90 座城市,城市建设、治理,直接和间接服务,否,官网,是,否,海外交流访问
19,中国国际民间组织合作促进会,1,0,0,1992年,1995年,黄浩明,——,——,北京市,非营利社会团体,——,——,——,——,推动中外民间协同，助力全球持续发展,理事会、监事会、秘书处,否,推动合作伙伴和国内外社会组织的交流与合作，推动国内社会组织国际化成长,,中国 - 菲律宾民间组织交流项目、东亚民间社会论坛、澜湄国家民间组织论坛、一带一路妇女儿童发展民间论坛等,教育培训、文化交流,直接和间接服务,是,官网,是,是,——
20,北京环保娃娃公益发展中心,0,1,0,1999年,2015年,——,——,——,北京市,非盈利社会组织,——,——,——,——,——,——,否,将环保融入到戏剧中去，不但使孩子得到戏剧专业的建设，也用这种寓教于乐的方式让孩子们在为社会演出服务的过程中了解到环境保护的重要性，这是促进儿童参与环保活动的一个新的尝试,中欧环保小使者,欧洲,教育,直接服务,是,微信公众号,是,是,海外交流访问
