目标：搜索中国社会组织走出去相关的政策、批示、倡议、协约文件，下载并记录以下信息（如有需要可以加列）,,,,,,,,
No.,发布时期,题目,属性,发布单位（部委）1,发布单位（部委）2,发布单位（部委）3,发布单位（部委）4,链接
1,4/5/1988,《国务院关于参加一九八八年国际体育援助计划活动的批复》,批复公示,国务院,-,-,-,https://www.gov.cn/zhengce/content/2011-03/24/content_6845.htm
2,6/28/1999,《中华人民共和国公益事业捐赠法》,政策意见,中华人民共和国主席令,-,-,-,https://www.gov.cn/ziliao/flfg/2005-10/01/content_74087.htm
3,3/28/2015,《推动共建丝绸之路经济带和21世纪海上丝绸之路的愿景与行动》,政策意见,国家发展改革委,外交部,商务部,-,https://www.gov.cn/xinwen/2015-03/28/content_2839723.htm
4,4/29/2016,《中华人民共和国境外非政府组织境内活动管理法》,政策意见,全国人大常委会,-,-,-,https://www.gov.cn/xinwen/2016-04/29/content_5069003.htm
5,5/24/2016,《关于加强国际科技组织人才培养与推送工作的意见》,政策意见,中国科协,民政部,-,-,https://www.gov.cn/xinwen/2016-05/24/content_5076210.htm
6,8/21/2016,《关于改革社会组织管理制度促进社会组织健康有序发展的意见》,政策意见,中共中央办公厅,国务院办公厅,-,-,https://www.gov.cn/xinwen/2016-08/21/content_5101125.htm
7,9/9/2016,《南南合作援助基金项目申报与实施管理办法（试行）》,政策意见,商务部,-,-,-,https://tfs.mofcom.gov.cn/lfzqyj/art/2016/art_2bb771bb60734dd5afbf63553a021bea.html
8,8/27/2021,《对外援助管理办法》,政策意见,国际发展合作署,外交部,商务部,-,https://www.gov.cn/zhengce/2021-08/27/content_5728855.htm
9,9/30/2021,《“十四五”社会组织发展规划》,政策意见,民政部,-,-,-,https://www.gov.cn/zhengce/zhengceku/2021-10/08/content_5641453.htm
10,7/9/2023,《中华人民共和国领事保护与协助条例》,政策意见,国务院,-,-,-,https://www.gov.cn/zhengce/content/202307/content_6891760.htm
11,12/29/2023,《中华人民共和国慈善法(修订案)》,政策意见,全国人大常委会,-,-,-,https://www.gov.cn/yaowen/liebiao/202312/content_6923390.htm
12,4/12/2024,《关于健全新时代志愿服务体系的意见》,政策意见,中共中央办公厅,国务院办公厅,-,-,https://www.gov.cn/zhengce/202404/content_6946879.htm
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
